,stop_id,stop_code,stop_name,stop_desc,stop_lat,stop_lon,location_type,parent_station,wheelchair_boarding,platform_code
16539,42552,,Svinsbjerg (Vedbrovej),,54.918782352666994,11.254225623597,0,,,
16540,42554,,Rævegade,,54.916010542706005,11.352066195757999,0,,,
16570,43714,,Sjunkebyvej,,54.7777805586,11.036784766855,0,,,
16677,42692,,Kaj Munks Vej (Nakskov Landevej),,54.76216996288299,11.324058630840002,0,,,
16751,41373,,Linkøpingvej (Højevej),,54.82452895491,11.158546956442,0,,,
16856,44059,,Skovbølle (Harpelundevej),,54.904920020202,11.091495399391999,0,,,
16858,44061,,Roløkke (Oddevej),,54.9138805944,11.119046759609,0,,,
16859,44063,,Bymøllevej (Provstegårdsvej),,54.905959069126,11.10937982977,0,,,
16860,44064,,Vink - Købelev Kirke (Præstegårdsvej),,54.898505303332996,11.124462246839002,0,,,
16899,44147,,H C Skottesvej (Bryggerivej),,54.908524312427,11.214243409517,0,,,
16971,44163,,Vink - Vester Nordlunde (Nordlundevej),,54.877445017571,11.215001573951001,0,,,
17089,41528,,Skovvænget (Løjtoftevej),,54.838532174427,11.153563292832,0,,,
17090,41529,,Løjtoftevej 201 (Løjtoftevej),,54.844128691099,11.157303757606002,0,,,
17091,41530,,Skovsgårdsvej (Løjtoftevej),,54.835090300387,11.150981802181999,0,,,
17099,41544,,Rørsangervej (Maglehøjvej),,54.823368779414,11.139803372074999,0,,,
17100,41545,,Skandsen (Maglehøjvej),,54.82687450054,11.139288203187,0,,,
17116,41567,,Gormsvej (Maribovej),,54.832950674074,11.166159490088999,0,,,
17182,44235,,Vink - Reventlow Lille Skole (Rødbyvej),,54.77912167757,11.297271217272,0,,,
17185,44240,,Søllested Skole (Birkevej),,54.814008265638996,11.269584565529001,0,,,
17195,44268,,Vink - Magletving (Mageltving Møllevej),,54.892539977259,11.295692827346,0,,,
17197,44273,,Posthusvej (Vesterborgvej),,54.856215507478,11.272749549789,0,,,
17210,44314,,Vink - Hestehave (Gloslunde Strandvej),,54.734161817805,11.207563415531,0,,,
17322,41609,,Nakskov St. (Banegården),,54.833008735511996,11.139067684884,0,,,
17600,41798,,Nørrevænget (Primulavej),,54.841581406780996,11.135643073018,0,,,
17759,40805,,Vink - Købelev Kulturcenter (Provstegårdsvej),,54.906976360219005,11.094222865092002,0,,,
17760,40806,,Ravnsborgskolen (Pederstrupvej),,54.90713523198399,11.219923774395001,0,,,
17761,40808,,Realskolen (Hovedgaden),,54.91060619673,11.216900855634,0,,,
17762,40809,,Realskolen (Hovedgaden),,54.911629612045004,11.216972727421,0,,,
17763,40810,,Vindeby forsamlingshus (Toftevej),,54.922780919152004,11.156252180618,0,,,
17764,40811,,Vindeby forsamlingshus (Toftevej),,54.922817116533004,11.156238510643,0,,,
17765,40813,,Utterslev Kirke (Gallevej),,54.921871446893995,11.193002935088,0,,,
17770,40814,,V. Karleby smedie (Nakskovvej),,54.865289310574,11.171867462923,0,,,
17771,40815,,V. Karleby smedie (Nakskovvej),,54.865253389927,11.171865531415,0,,,
17774,40818,,Halsted Kirke (Maribovej),,54.847361437146,11.225689989893,0,,,
17776,40819,,Halsted Kirke (Maribovej),,54.847386949945005,11.225769282791,0,,,
17884,40821,,Vesterborg Kirke (Vesterborgvej),,54.860185185558,11.268609730327,0,,,
17892,40827,,Dronningensstræde (Havnegade),,54.828615253553,11.137932259479001,0,,,
17894,40830,,Græshave (Græshavevej),,54.775011130425995,11.216256711493001,0,,,
17897,40834,,"Hvilested, Rødbyvej (Bjerreskovvej)",,54.789864555234004,11.281033720825,0,,,
17939,42042,,Ahornsvej (Riddersborgvej),,54.834233403154,11.115867634872,0,,,
17965,42084,,Tårs Færgehavn (Spodsbjergvej),,54.875982092857,11.03080828215,0,,,
17966,42086,,Forsythiavej (Tårsvej),,54.856578615398,11.118486631751,0,,,
17967,42087,,Forsythiavej (Tårs Landevej),,54.856252601291,11.118625344784,0,,,
17968,42088,,Christiansdalsvej (Tårsvej),,54.839435472001,11.124752377284,0,,,
18024,40845,,Torvevej (Bygaden),,54.760077198695,11.179238615232,0,,,
18025,40846,,Torvevej (Bygaden),,54.760046022085,11.178972694477,0,,,
18034,40856,,Langø (Havnevej),,54.812747987792996,11.017315432814,0,,,
18035,40858,,Kragenæs Havn,,54.916166295206004,11.359331444714,0,,,
18036,40860,,Vink - Birket (Bandholmvej),,54.899254391134996,11.332043803473,0,,,
18038,40862,,Hejringe (Bandholmvej),,54.881512389528,11.358443540361,0,,,
18039,40863,,Hejringe (Bandholmvej),,54.881558494371006,11.358383869252,0,,,
18084,40935,,Kløvervænget (A. R. Paulsensvej),,54.840181317768,11.146222080883998,0,,,
18599,50733,,Hvedevænget (Tårsvej),,54.842298084019006,11.123485480924002,0,,,
18600,50734,,Branderslevvej (Tårsvej),,54.861816553022,11.115535675697998,0,,,
18760,51110,,Vink - Halstedhus (Halstedhus Vej),,54.849129120775004,11.234666956542,0,,,
18761,51111,,Halstedhus (Rudbjergvej),,54.849056995811004,11.234678546687,0,,,
18763,51113,,Ørsløkkevej (Nakskovvej),,54.91674263217399,11.23716511582,0,,,
18828,51368,,Bådesgaardsvej (Skodsebøllevej),,54.776426732391,11.227794681117,0,,,
18865,51370,,Nedergårdsvej (Tårsvej),,54.847041410045996,11.121585034136,0,,,
18866,51371,,Græshavevej (Højrebyvej),,54.810166042414,11.211878247855001,0,,,
18867,51372,,Søllested St. (Jernbanegade),,54.810709126677,11.271033727944,0,,,
18870,51375,,Næsby (Vestenskovvej),,54.774077464046,11.075999347302,0,,,
18912,51417,,Nakskov St.,,54.833104707642,11.139742347994002,0,,,
18913,51418,,Nakskov St.,,54.833155643586,11.139402463476,0,,,
18914,51419,,Nakskov St. (Perlestikkergade),,54.832973221512006,11.140062397211,0,,,
18915,51420,,Nakskov St. (Perlestikkergade),,54.83300455177201,11.139814907277,0,,,
18916,51421,,Nakskov St. (Perlestikkergade),,54.833045136199,11.139552334830999,0,,,
18919,51426,,Langøparken (Langøvej),,54.80943265851,11.017228010576,0,,,
18920,51427,,Vesternæs Strandvej (Vesternæsvej),,54.780719003611004,10.994648683408,0,,,
18990,51538,,Græshave (Græshavevej),,54.774993454261,11.216240195122001,0,,,
18996,51537,,Baldersvej (Skandsen),,54.827491536822,11.133342107936,0,,,
19017,51583,,Mølle Allé (Tårsvej),,54.834957881971995,11.128924101257,0,,,
20375,52452,,Løjtoftevej 201 (Løjtoftevej),,54.844235348114005,11.157371754298,0,,,
30388,52783,,Vesterborgvej (Rudbjergvej),,54.864761669991,11.261807026747999,0,,,
37024,52969,,Kasbækvej (Viemosevej),,54.924851701183,11.256063442349,0,,,
37025,52970,,Nakskovvej (Hedemøllevej),,54.89488561043,11.195076120238,0,,,
