,stop_id,stop_code,stop_name,stop_desc,stop_lat,stop_lon,location_type,parent_station,wheelchair_boarding,platform_code
6357,48058,,Havløkkevej (Vestre Landevej),,54.836338977892,11.372876624168999,0,,,
6358,48059,,Sørup (Vestre Landevej),,54.811931057326,11.410823477923,0,,,
6359,48060,,Præstevænget (Vestre Landevej),,54.807507308615996,11.426652046365,0,,,
6360,48061,,Pårup Møllevej (Vestre Landevej),,54.804188231160005,11.44019406248,0,,,
6361,48062,,Pårup Møllevej (Vestre Landevej),,54.804503052983996,11.438843597528999,0,,,
6364,48065,,Havesangervej (Blæsenborg Allé),,54.768471050767005,11.528906856979,0,,,
6365,48066,,Havesangervej (Blæsenborg Allé),,54.768435786520996,11.528873559881001,0,,,
6370,48080,,"Rundkørselen, Rødbyvej (Vestre Landevej)",,54.776091029825004,11.485590215829001,0,,,
6371,48081,,"Rundkørselen, Rødbyvej (Vestre Landevej)",,54.776016974779,11.485694530679,0,,,
6372,48082,,Rå (Kirkevejen),,54.76036368838199,11.437555662965,0,,,
6373,48083,,Rå (Kirkevejen),,54.760225886979,11.437702826582,0,,,
6374,48084,,Erikstrup (Kirkevejen),,54.785699002227,11.436513555994,0,,,
6375,48085,,Havløkke (Havløkkevej),,54.830485751248,11.424776253613999,0,,,
6376,48086,,Åsmarkegade (Havnegade),,54.834429636215,11.483568932874,0,,,
6377,48088,,Vejleby Kirkevej (Duevej),,54.743049645462,11.331089530558,0,,,
6379,48092,,Tuekærvej (Vestervej),,54.71033265099,11.464874194314001,0,,,
6380,48096,,Nedergårdsvej (Tårsvej),,54.847538328718,11.121439767614,0,,,
6381,48097,,Branderslevvej (Tårsvej),,54.861798592027,11.115534735102,0,,,
6382,48098,,Højagervej (Bøgetvej),,54.924491993562,11.191241442806001,0,,,
6383,48099,,Gallevej 60 (Gallevej),,54.920055159922,11.194527095027,0,,,
6384,48100,,Gallevej 60 (Gallevej),,54.920136261031,11.194515904909998,0,,,
6385,48104,,Rødkildevej (Bryggerivej),,54.906588424831,11.202062409699,0,,,
6386,48108,,Mosevej (Løjtoftevej),,54.848898780464,11.160502598521,0,,,
6387,48110,,Hedemøllevej 19 (Hedemøllevej),,54.89375772856,11.187341834957,0,,,
6388,48111,,Bådesgaardsvej (Skodsebøllevej),,54.776433143872005,11.227934986242001,0,,,
6389,48112,,Lienlund (Rødbyvej),,54.821704052304,11.155142634052,0,,,
6390,48113,,"Nygade, Apoteket (Østergade)",,54.830884756801005,11.140746000739,0,,,
6394,48131,,Stavangervej (Højevej),,54.827001195651995,11.161559244526,0,,,
6395,48132,,Gartnervænget (Skolebakken),,54.844175508697006,11.16174544972,0,,,
6398,48170,,Volshave Skovvej (Højrebyvej),,54.80448407039,11.236932305598,0,,,
6399,48171,,Volshave Skovvej (Højrebyvej),,54.804483210445994,11.236978941394,0,,,
6400,48172,,Egevej (Højrebygade),,54.804031199256,11.273382256631999,0,,,
6404,48212,,Søgårdsvej (Vesternæsvej),,54.775752217862994,11.018319037108,0,,,
6405,48213,,Langøparken (Langøvej),,54.809441639642,11.01722845816,0,,,
6406,48214,,Stendyssevej (Langøvej),,54.81168200946,11.017635816688001,0,,,
6407,48215,,Ramsøvej (Langøvej),,54.814455996708006,11.018925863606999,0,,,
6408,48216,,Bogøvej (Langøvej),,54.79549420373299,11.046574147453999,0,,,
6423,45525,,Købelev kirke (Præstegårdsvej),,54.898505303332996,11.124462246839002,0,,,
6424,45532,,Øster Karleby (Karlebyvej),,54.862880117327,11.189393925315,0,,,
6425,45535,,Vink - Nørregård (Almindevej),,54.763446054471,11.261327791519001,0,,,
6426,45542,,Vink - Piletvej (Piletvej),,54.65802212040499,11.446245599319,0,,,
6436,45323,,Vink - Vejlebyvej/Duevej (Duevej),,54.74733341888,11.331770798713,0,,,
6437,45325,,Rårup (Langøvej),,54.795619521223,11.103877439131999,0,,,
6458,40269,,Kongeleddet (Karlstoftevej),,54.670898733968,11.366907859718001,0,,,
6459,40270,,"Jernbanegade, Rødbyhavn (Havnegade)",,54.659163911613,11.354642413782,0,,,
6460,40271,,"Jernbanegade, Rødbyhavn (Havnegade)",,54.659040610333,11.354511233248001,0,,,
6461,40272,,Lalandia (Hagesvej),,54.665108201829995,11.335492689042,0,,,
6462,40273,,Søholtvej (Maribovej),,54.750472724153994,11.468773949928,0,,,
6463,40274,,Søholtvej (Maribovej),,54.750544235589,11.468793844147001,0,,,
6589,40235,,Rødby Færge St. (Færgestationsvej),,54.655078914476,11.354375089382,0,,,
6590,40239,,Rårup (Rårupvænget),,54.794524945493,11.100646986032,0,,,
6591,40243,,Næsby (Vestenskovvej),,54.774094893885,11.076031337851,0,,,
6592,40245,,Sjunkeby (Sjunkebyvej),,54.777186756696,11.054404134195002,0,,,
6593,40247,,Kappel Skole (Kappelvej),,54.773887903324,11.034676657551,0,,,
6594,40248,,Vink - Ydø (Skarntydevej),,54.788768094442,10.985619133143999,0,,,
6595,40249,,Vink - Ydø (Skarntydevej),,54.788759621915,10.985587609410999,0,,,
6596,40255,,Krønge Kbm. (Krøngevej),,54.727293127391995,11.509689862471001,0,,,
6597,40257,,Torslunde (Torslundevej),,54.693761819555995,11.489197037242,0,,,
6598,40259,,Errindlev (Errindlevvej),,54.669085993558,11.496139951828,0,,,
6599,40260,,Vink - Lungholm (Rødbyvej),,54.671740739715005,11.454221138148998,0,,,
6600,40251,,Vesternæs (Vesternæsvej),,54.775875097667,11.010379432567001,0,,,
