12,10,1.7976931348623157e+308,1.7976931348623157e+308
12,11,1.7976931348623157e+308,1.7976931348623157e+308
13,10,3387.0,47894.88700000001
13,11,1306.0,13130.702
10,11,2879.0,42305.776000000034
11,10,2867.0,42643.082
12,13,1.7976931348623157e+308,1.7976931348623157e+308
12,14,1.7976931348623157e+308,1.7976931348623157e+308
12,15,1.7976931348623157e+308,1.7976931348623157e+308
12,16,1.7976931348623157e+308,1.7976931348623157e+308
12,17,1.7976931348623157e+308,1.7976931348623157e+308
12,18,1.7976931348623157e+308,1.7976931348623157e+308
12,19,1.7976931348623157e+308,1.7976931348623157e+308
12,20,1.7976931348623157e+308,1.7976931348623157e+308
12,21,1.7976931348623157e+308,1.7976931348623157e+308
13,12,1.7976931348623157e+308,1.7976931348623157e+308
13,14,2612.0,28926.741000000005
13,15,3999.0,42847.43400000001
13,16,4658.0,50264.61
13,17,1953.0,17270.218000000008
13,18,1776.0,20536.312
13,19,4196.0,49487.62900000002
13,20,1.7976931348623157e+308,1.7976931348623157e+308
13,21,2169.0,22161.251999999997
14,12,1.7976931348623157e+308,1.7976931348623157e+308
14,13,2530.0,28932.450000000015
14,15,3316.0,36099.47399999998
14,16,3968.0,56489.21000000002
14,17,2706.0,24417.905999999988
14,18,2915.0,37592.059000000016
14,19,2195.0,21055.963000000003
14,20,1.7976931348623157e+308,1.7976931348623157e+308
14,21,3717.0,44322.602
15,12,1.7976931348623157e+308,1.7976931348623157e+308
15,13,4008.0,42853.049
15,14,3322.0,36105.08899999999
15,16,6037.0,83679.17300000005
15,17,2990.0,34272.802
15,18,5084.0,61602.61000000005
15,19,1865.0,17385.887999999995
15,20,1.7976931348623157e+308,1.7976931348623157e+308
15,21,4906.0,83525.26999999999
16,12,1.7976931348623157e+308,1.7976931348623157e+308
16,13,4672.0,50250.605999999985
16,14,3967.0,56334.60799999999
16,15,6030.0,83518.95600000006
16,17,5721.0,65614.23800000001
16,18,4128.0,77654.36000000002
16,19,4749.0,64991.00699999999
16,20,1.7976931348623157e+308,1.7976931348623157e+308
16,21,3747.0,81170.81600000002
17,12,1.7976931348623157e+308,1.7976931348623157e+308
17,13,1953.0,17270.217999999997
17,14,2703.0,24417.906000000003
17,15,2981.0,34267.187
17,16,5712.0,65546.90200000005
17,18,3029.0,36019.77900000001
17,19,3471.0,38954.766999999985
17,20,1.7976931348623157e+308,1.7976931348623157e+308
17,21,2974.0,35923.51100000001
18,12,1.7976931348623157e+308,1.7976931348623157e+308
18,13,1773.0,20536.311999999998
18,14,2994.0,37586.34999999999
18,15,5072.0,61596.995
18,16,4387.0,46918.783999999985
18,17,3026.0,36019.77900000001
18,19,4578.0,58147.237999999976
18,20,1.7976931348623157e+308,1.7976931348623157e+308
18,21,1220.0,11307.814999999999
19,12,1.7976931348623157e+308,1.7976931348623157e+308
19,13,4123.0,49500.56900000001
19,14,2198.0,21055.963
19,15,1862.0,17385.888
19,16,4752.0,65161.63500000002
19,17,3471.0,38954.767
19,18,4508.0,58160.178000000036
19,20,1.7976931348623157e+308,1.7976931348623157e+308
19,21,5310.0,64890.72100000002
20,12,1.7976931348623157e+308,1.7976931348623157e+308
20,13,1.7976931348623157e+308,1.7976931348623157e+308
20,14,1.7976931348623157e+308,1.7976931348623157e+308
20,15,1.7976931348623157e+308,1.7976931348623157e+308
20,16,1.7976931348623157e+308,1.7976931348623157e+308
20,17,1.7976931348623157e+308,1.7976931348623157e+308
20,18,1.7976931348623157e+308,1.7976931348623157e+308
20,19,1.7976931348623157e+308,1.7976931348623157e+308
20,21,1.7976931348623157e+308,1.7976931348623157e+308
21,12,1.7976931348623157e+308,1.7976931348623157e+308
21,13,2169.0,22161.251999999997
21,14,3799.0,44316.89300000001
21,15,4919.0,83941.354
21,16,3692.0,81832.64099999999
21,17,2933.0,35805.814000000035
21,18,1223.0,11307.815
21,19,5383.0,64877.780999999966
21,20,1.7976931348623157e+308,1.7976931348623157e+308
10,12,1.7976931348623157e+308,1.7976931348623157e+308
10,13,3371.0,47698.31899999997
11,12,1.7976931348623157e+308,1.7976931348623157e+308
11,13,1309.0,13130.702
10,15,5875,109931.81599999998
10,19,5286,73724.497
15,11,4152,43676.38099999998
15,10,5847,109865.32500000006
19,10,5269,74321.10600000007
19,11,3196,30355.631000000005
20,10,1.7976931348623157E308,1.7976931348623157E308
20,11,1.7976931348623157E308,1.7976931348623157E308
10,14,3702,53163.609000000026
10,17,3889,61796.27600000001
10,18,1905,26727.440000000013
10,16,2919,57469.986000000004
10,21,1524,30243.89600000001
10,20,1.7976931348623157E308,1.7976931348623157E308
11,15,4143,43670.765999999996
11,19,3190,30355.63099999999
11,20,1.7976931348623157E308,1.7976931348623157E308
11,21,2490,28520.85399999999
11,18,1688,21790.310999999994
11,16,3954,46512.97899999999
16,11,3960,46580.31500000001
14,10,3676,53752.98700000003
14,11,1483,13310.725999999999
16,10,3015,56784.948000000026
17,10,3915,62263.56600000002
17,11,2218,23258.683000000005
18,10,1926,26927.461999999992
18,11,1682,21790.311
21,10,1459,29934.772999999986
21,11,2487,28520.854000000007
11,14,1480,13310.725999999999
11,17,2221,23258.682999999994
10,10,0,0
11,11,0,0
